"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Suarez, Robert",663158,ATL,FF,4-Seam Fastball,4.9,1,12,70.6,4,0.25,0.25,0.225,16.7,25.0,50.0,0.36,0.407,0.334,66.7
"Lee, Dylan",669276,ATL,FF,4-Seam Fastball,11.8,1,10,37.0,4,0.0,0.0,0.0,16.7,25.0,50.0,0.085,0.313,0.166,33.3
"Roycroft, Chris",688297,STL,FF,4-Seam Fastball,3.2,0,12,28.6,4,0.25,0.25,0.225,0.0,0.0,0.0,0.283,0.343,0.271,25.0
"Senzatela, Antonio",622608,COL,FF,4-Seam Fastball,3.0,1,18,41.9,4,0.0,0.0,0.175,28.6,50.0,25.0,0.058,0.076,0.217,0.0
"Fried, Max",608331,NYY,FF,4-Seam Fastball,4.5,1,21,24.4,4,0.0,0.0,0.0,20.0,50.0,33.3,0.017,0.027,0.017,0.0
"Muñoz, Roddery",682610,HOU,FF,4-Seam Fastball,0.8,0,19,26.0,4,0.0,0.0,0.35,50.0,25.0,20.0,0.313,0.365,0.498,100.0
"Henry, Cole",669371,WSH,FF,4-Seam Fastball,9.6,1,7,63.6,3,0.0,0.0,0.0,33.3,33.3,100.0,0.006,0.008,0.005,50.0
"Romano, Jordan",605447,LAA,FF,4-Seam Fastball,4.1,0,11,44.0,3,0.0,0.0,0.233,33.3,33.3,50.0,0.127,0.4,0.378,100.0
"McGreevy, Michael",700241,STL,FF,4-Seam Fastball,4.5,1,18,18.8,3,0.0,0.0,0.0,20.0,33.3,33.3,0.318,1.206,0.625,50.0
"Casparius, Ben",676508,LAD,FF,4-Seam Fastball,0.2,0,11,45.8,3,0.333,0.333,0.3,33.3,33.3,25.0,0.326,0.376,0.306,0.0
"Chapman, Aroldis",547973,BOS,FF,4-Seam Fastball,9.9,1,9,45.0,3,0.0,0.0,0.0,0.0,0.0,,0.109,0.295,0.169,33.3
"Wacha, Michael",608379,KC,FF,4-Seam Fastball,4.1,1,25,31.3,3,0.0,0.0,0.0,42.9,33.3,16.7,0.221,0.346,0.246,50.0
"Petersen, Michael",656848,MIA,FF,4-Seam Fastball,10.7,1,7,63.6,3,0.0,0.0,0.0,83.3,66.7,66.7,0.001,0.001,0.001,0.0
"Muñoz, Andrés",662253,SEA,FF,4-Seam Fastball,-12.9,-1,11,29.7,3,1.0,2.0,1.267,20.0,0.0,0.0,0.582,0.964,0.665,33.3
"Santana, Dennis",642701,PIT,FF,4-Seam Fastball,1.8,0,18,36.7,3,0.0,0.0,0.233,14.3,0.0,0.0,0.258,0.459,0.434,50.0
"Garcia, Robert",676395,TEX,FF,4-Seam Fastball,0.7,0,13,40.6,3,0.0,0.0,0.233,0.0,33.3,25.0,0.151,0.169,0.328,100.0
